Designator,Mid X,Mid Y,Layer,Rotation
J1,11,60.8,top,270
J2,30,60.8,top,270
J3,49,60.8,top,270
J4,-49,60.8,top,270
J5,-30,60.8,top,270
J6,-11,60.8,top,270
J7,-16,-63,top,270
J8,0,-63,top,270
J9,16,-63,top,270
