Ref,Val,Package,PosX,PosY,Rot,Side
"J1","HDMI_A","HDMI-SMD_HDMI-019S",0.000000,0.000000,0.000000,top
"J2","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-18.500000,16.500000,180.000000,top
"J3","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-3.500000,16.500000,180.000000,top
"J4","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",11.500000,16.500000,180.000000,top
"J5","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",26.584000,16.509000,180.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",18.000000,20.000000,180.000000,top
"J7","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",3.000000,20.000000,180.000000,top
"J8","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-12.000000,20.000000,180.000000,top
"J9","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-27.000000,20.000000,180.000000,top
