Ref,Val,Package,PosX,PosY,Rot,Side
"J1","HDMI_A","HDMI-SMD_HDMI-019S",0.000000,0.000000,0.000000,top
"J2","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",20.526000,16.750000,180.000000,top
"J3","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-2.474000,16.750000,180.000000,top
"J4","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-18.250000,16.750000,180.000000,top
"J5","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",4.726000,16.750000,180.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",11.676000,20.000000,180.000000,top
"J7","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-11.384000,20.000000,180.000000,top
